,ROC AUC,Average Precision
STABL Lasso,"0.421 [0.338, 0.507]","0.366 [0.297, 0.455]"
STABL XGBoost,"0.554 [0.464, 0.641]","0.474 [0.379, 0.593]"
STABL ALasso,"0.439 [0.354, 0.526]","0.371 [0.298, 0.470]"
Union STABL Lasso & STABL XGBoost,"0.551 [0.460, 0.635]","0.471 [0.365, 0.595]"
Intersect STABL Lasso & STABL XGBoost,"0.463 [0.376, 0.549]","0.389 [0.318, 0.485]"
Union STABL Lasso & STABL ALasso,"0.446 [0.364, 0.539]","0.371 [0.303, 0.467]"
Intersect STABL Lasso & STABL ALasso,"0.424 [0.344, 0.503]","0.364 [0.297, 0.463]"
Union STABL XGBoost & STABL ALasso,"0.556 [0.467, 0.647]","0.477 [0.375, 0.606]"
Intersect STABL XGBoost & STABL ALasso,"0.477 [0.398, 0.565]","0.404 [0.325, 0.495]"
