,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.847 [0.787, 0.901]","0.904 [0.858, 0.946]","12.000 [8.000, 16.000]","0.250 [0.167, 0.322]"
STABL ALasso,"0.803 [0.730, 0.864]","0.877 [0.815, 0.928]","6.000 [4.000, 11.000]","0.000 [0.000, 0.062]"
STABL XGBoost,"0.871 [0.813, 0.922]","0.920 [0.873, 0.954]","7.000 [6.000, 8.000]","0.333 [0.231, 0.444]"
