,ROC AUC,Average Precision,N features
STABL ALasso,"0.500 [0.500, 0.500]","0.400 [0.325, 0.487]","0.000 [0.000, 0.000]"
STABL Lasso,"0.500 [0.500, 0.500]","0.400 [0.325, 0.487]","0.000 [0.000, 0.000]"
STABL XGBoost,"0.723 [0.600, 0.780]","0.694 [0.547, 0.786]","33.000 [33.000, 33.000]"
