,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000586)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
artificial.1,0.209,0.152,0.074,0.011,0.001,0.0,0.0,0.0,0.0,0.0
artificial.2,0.231,0.159,0.072,0.022,0.0,0.0,0.0,0.0,0.0,0.0
artificial.3,0.194,0.131,0.06,0.013,0.002,0.002,0.0,0.0,0.0,0.0
artificial.4,0.295,0.218,0.123,0.043,0.006,0.0,0.0,0.0,0.0,0.0
artificial.5,0.303,0.229,0.138,0.045,0.005,0.0,0.0,0.0,0.0,0.0
artificial.6,0.274,0.192,0.097,0.043,0.018,0.0,0.0,0.0,0.0,0.0
artificial.7,0.46,0.397,0.311,0.236,0.13,0.01,0.0,0.0,0.0,0.0
artificial.8,0.236,0.176,0.109,0.049,0.014,0.001,0.0,0.0,0.0,0.0
artificial.9,0.283,0.228,0.18,0.161,0.095,0.019,0.0,0.0,0.0,0.0
artificial.10,0.393,0.346,0.288,0.178,0.039,0.001,0.0,0.0,0.0,0.0
artificial.11,0.357,0.29,0.221,0.109,0.017,0.0,0.0,0.0,0.0,0.0
artificial.12,0.262,0.174,0.08,0.03,0.006,0.001,0.0,0.0,0.0,0.0
artificial.13,0.324,0.253,0.152,0.054,0.002,0.0,0.0,0.0,0.0,0.0
artificial.14,0.478,0.45,0.344,0.173,0.01,0.0,0.0,0.0,0.0,0.0
artificial.15,0.283,0.216,0.114,0.024,0.002,0.0,0.0,0.0,0.0,0.0
artificial.16,0.429,0.38,0.269,0.091,0.007,0.0,0.0,0.0,0.0,0.0
artificial.17,0.258,0.21,0.156,0.09,0.012,0.0,0.0,0.0,0.0,0.0
artificial.18,0.182,0.12,0.055,0.011,0.0,0.0,0.0,0.0,0.0,0.0
artificial.19,0.294,0.218,0.167,0.11,0.04,0.0,0.0,0.0,0.0,0.0
artificial.20,0.456,0.393,0.326,0.238,0.137,0.06,0.0,0.0,0.0,0.0
artificial.21,0.447,0.339,0.162,0.028,0.001,0.0,0.0,0.0,0.0,0.0
artificial.22,0.426,0.309,0.159,0.041,0.002,0.0,0.0,0.0,0.0,0.0
artificial.23,0.403,0.302,0.173,0.058,0.006,0.0,0.0,0.0,0.0,0.0
artificial.24,0.506,0.453,0.344,0.181,0.034,0.002,0.0,0.0,0.0,0.0
artificial.25,0.383,0.321,0.218,0.07,0.002,0.0,0.0,0.0,0.0,0.0
artificial.26,0.421,0.36,0.292,0.182,0.075,0.006,0.0,0.0,0.0,0.0
artificial.27,0.454,0.412,0.32,0.16,0.011,0.0,0.0,0.0,0.0,0.0
artificial.28,0.194,0.135,0.072,0.03,0.008,0.001,0.0,0.0,0.0,0.0
