,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.461 [0.392, 0.528]","0.482 [0.411, 0.560]","2.000 [0.000, 4.000]","0.000 [0.000, 0.071]"
STABL ALasso,"0.436 [0.379, 0.494]","0.474 [0.408, 0.550]","1.000 [0.000, 3.000]","0.000 [0.000, 0.000]"
STABL XGBoost,"0.489 [0.413, 0.562]","0.497 [0.428, 0.584]","3.000 [0.750, 4.000]","0.000 [0.000, 0.200]"
