,Feature Name
Feature n°1,CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Stroma.fibroblast
Feature n°2,CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal
Feature n°3,CD8_T_cells_CD80_CD86+_stromal_aggregatedNeighbors.Stroma.fibroblast
Feature n°4,CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast
Feature n°5,Stroma_vascular_endothelium_glandfront_aggregatedNeighbors.Stroma.vascular.endothelium
Feature n°6,Macrophages_M1_M2_stromal_aggregatedNeighbors.Macrophages.MDSC
Feature n°7,Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°8,Dendritic_Cells_CD209CD86dp_glandfront_aggregatedNeighbors.Gland.mesenchymal
Feature n°9,NKT_glandfront_aggregatedNeighbors.Gland.glandular.epithelium
Feature n°10,Gland_glandular_epithelium_glandfront_aggregatedNeighbors.Gland.glandular.epithelium
Feature n°11,Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium
Feature n°12,Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.fibroblast
Feature n°13,Gland_fibroblast_intragland_aggregatedNeighbors.Gland.mesenchymal
Feature n°14,Gland_vascular_endothelium_stromal_aggregatedNeighbors.Stroma.vascular.endothelium
Feature n°15,NA_glandfront_aggregatedNeighbors.Gland.fibroblast
