,ROC AUC,Average Precision
STABL Lasso,"0.625 [0.517, 0.736]","0.311 [0.207, 0.475]"
STABL XGBoost,"0.675 [0.555, 0.774]","0.358 [0.242, 0.522]"
STABL ALasso,"0.593 [0.459, 0.709]","0.290 [0.200, 0.434]"
Union STABL Lasso & STABL XGBoost,"0.650 [0.546, 0.760]","0.328 [0.228, 0.496]"
Intersect STABL Lasso & STABL XGBoost,"0.646 [0.530, 0.748]","0.335 [0.230, 0.500]"
Union STABL Lasso & STABL ALasso,"0.610 [0.490, 0.726]","0.306 [0.210, 0.456]"
Intersect STABL Lasso & STABL ALasso,"0.608 [0.486, 0.727]","0.295 [0.203, 0.449]"
Union STABL XGBoost & STABL ALasso,"0.642 [0.529, 0.747]","0.326 [0.227, 0.481]"
Intersect STABL XGBoost & STABL ALasso,"0.618 [0.508, 0.730]","0.306 [0.215, 0.458]"
