,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.438 [0.388, 0.484]","0.387 [0.315, 0.456]","0.000 [0.000, 2.000]","0.000 [0.000, 0.000]"
STABL ALasso,"0.437 [0.386, 0.487]","0.386 [0.317, 0.462]","0.000 [0.000, 1.000]","0.000 [0.000, 0.000]"
STABL XGBoost,"0.440 [0.395, 0.489]","0.392 [0.325, 0.465]","0.000 [0.000, 2.000]","0.000 [0.000, 0.000]"
