,ROC AUC,Average Precision
STABL Lasso,"0.655 [0.526, 0.772]","0.345 [0.239, 0.506]"
STABL XGBoost,"0.673 [0.567, 0.782]","0.335 [0.240, 0.496]"
STABL ALasso,"0.620 [0.484, 0.740]","0.348 [0.232, 0.514]"
Union STABL Lasso & STABL XGBoost,"0.671 [0.551, 0.780]","0.334 [0.233, 0.495]"
Intersect STABL Lasso & STABL XGBoost,"0.637 [0.508, 0.751]","0.359 [0.242, 0.514]"
Union STABL Lasso & STABL ALasso,"0.635 [0.516, 0.755]","0.329 [0.224, 0.483]"
Intersect STABL Lasso & STABL ALasso,"0.644 [0.510, 0.767]","0.367 [0.247, 0.538]"
Union STABL XGBoost & STABL ALasso,"0.668 [0.555, 0.771]","0.327 [0.227, 0.470]"
Intersect STABL XGBoost & STABL ALasso,"0.639 [0.505, 0.760]","0.370 [0.246, 0.532]"
