,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.471 [0.392, 0.549]","0.473 [0.401, 0.571]","4.000 [2.000, 6.000]","0.125 [0.000, 0.250]"
STABL ALasso,"0.468 [0.391, 0.545]","0.478 [0.408, 0.567]","3.000 [1.000, 5.000]","0.111 [0.000, 0.250]"
STABL XGBoost,"0.446 [0.376, 0.521]","0.454 [0.387, 0.537]","3.000 [1.000, 6.000]","0.037 [0.000, 0.200]"
