,ROC AUC,Average Precision
STABL Lasso,"0.528 [0.454, 0.615]","0.517 [0.437, 0.620]"
STABL XGBoost,"0.465 [0.398, 0.538]","0.476 [0.415, 0.558]"
STABL ALasso,"0.505 [0.427, 0.591]","0.504 [0.425, 0.604]"
Union STABL Lasso & STABL XGBoost,"0.540 [0.461, 0.619]","0.519 [0.444, 0.619]"
Intersect STABL Lasso & STABL XGBoost,"0.457 [0.400, 0.518]","0.487 [0.425, 0.562]"
Union STABL Lasso & STABL ALasso,"0.533 [0.458, 0.611]","0.521 [0.442, 0.624]"
Intersect STABL Lasso & STABL ALasso,"0.497 [0.420, 0.572]","0.494 [0.419, 0.599]"
Union STABL XGBoost & STABL ALasso,"0.522 [0.446, 0.597]","0.512 [0.434, 0.607]"
Intersect STABL XGBoost & STABL ALasso,"0.453 [0.395, 0.512]","0.483 [0.420, 0.558]"
