,ROC AUC,Average Precision,N features
STABL ALasso,"0.500 [0.500, 0.500]","0.400 [0.325, 0.487]","0.000 [0.000, 0.000]"
STABL Lasso,"0.500 [0.500, 0.500]","0.400 [0.325, 0.487]","0.000 [0.000, 0.000]"
STABL XGBoost,"0.538 [0.483, 0.612]","0.489 [0.399, 0.592]","30.000 [30.000, 30.000]"
