,ROC AUC,Average Precision
STABL Lasso,"0.688 [0.619, 0.760]","0.714 [0.626, 0.804]"
STABL XGBoost,"0.686 [0.609, 0.752]","0.701 [0.617, 0.783]"
STABL ALasso,"0.698 [0.629, 0.764]","0.720 [0.637, 0.805]"
Union STABL Lasso & STABL XGBoost,"0.701 [0.635, 0.765]","0.717 [0.628, 0.814]"
Intersect STABL Lasso & STABL XGBoost,"0.673 [0.600, 0.744]","0.672 [0.582, 0.767]"
Union STABL Lasso & STABL ALasso,"0.690 [0.620, 0.756]","0.718 [0.637, 0.810]"
Intersect STABL Lasso & STABL ALasso,"0.693 [0.628, 0.759]","0.715 [0.628, 0.803]"
Union STABL XGBoost & STABL ALasso,"0.714 [0.643, 0.777]","0.723 [0.632, 0.816]"
Intersect STABL XGBoost & STABL ALasso,"0.636 [0.561, 0.705]","0.646 [0.550, 0.735]"
