,R2,RMSE,MAE
STABL Lasso,"0.047 [-0.751, 0.490]","30.792 [22.405, 41.579]","20.589 [17.565, 24.238]"
STABL ALasso,"-0.212 [-1.626, 0.470]","34.718 [22.633, 49.477]","21.086 [17.855, 25.844]"
STABL XGBoost,"-2.939 [-9.283, 0.336]","62.592 [25.296, 98.997]","25.911 [19.606, 35.671]"
Union STABL Lasso & STABL ALasso,"-0.058 [-1.133, 0.506]","32.432 [22.254, 45.287]","20.630 [17.633, 24.766]"
Intersect STABL Lasso & STABL ALasso,"-132.876 [-414.049, 0.000]","364.906 [31.545, 630.217]","53.756 [23.979, 110.035]"
Union STABL Lasso & STABL XGBoost,"-5.183 [-18.007, 0.473]","78.423 [22.416, 131.176]","24.850 [17.517, 37.184]"
Intersect STABL Lasso & STABL XGBoost,"-132.876 [-423.653, -0.026]","364.906 [31.072, 632.868]","53.756 [23.909, 109.907]"
Union STABL ALasso & STABL XGBoost,"-11.543 [-40.020, 0.490]","111.696 [22.149, 218.922]","27.352 [17.618, 44.723]"
Intersect STABL ALasso & STABL XGBoost,"-132.876 [-431.503, 0.013]","364.906 [31.688, 630.227]","53.756 [24.042, 109.499]"
