,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.652 [0.533, 0.767]","0.359 [0.240, 0.546]","14.000 [8.000, 20.000]","0.168 [0.115, 0.235]"
STABL ALasso,"0.640 [0.515, 0.750]","0.328 [0.227, 0.495]","12.000 [7.000, 18.000]","0.143 [0.091, 0.207]"
STABL XGBoost,"0.678 [0.574, 0.781]","0.356 [0.238, 0.546]","32.500 [26.000, 38.250]","0.269 [0.206, 0.333]"
