,Feature Name
Feature n°1,LPS_CD56brightCD16negNK_159Tb_MAPKAPK2
Feature n°2,LPS_CD56brightCD16negNK_166Er_NFkB
Feature n°3,LPS_CXCR4neutro_164Dy_IkB
Feature n°4,LPS_DC_155Gd_S6
Feature n°5,LPS_Granulocytes_149Sm_CREB
