,ROC AUC,Average Precision
STABL Lasso,"0.777 [0.734, 0.821]","0.940 [0.919, 0.959]"
STABL ALasso,"0.807 [0.764, 0.849]","0.950 [0.931, 0.966]"
Union STABL Lasso & STABL ALasso,"0.804 [0.759, 0.843]","0.950 [0.932, 0.966]"
Intersect STABL Lasso & STABL ALasso,"0.769 [0.722, 0.814]","0.935 [0.912, 0.956]"
