,R2,RMSE,MAE,N features,CVS
STABL Lasso,"0.338 [0.180, 0.467]","25.662 [22.680, 28.633]","19.569 [17.296, 22.079]","20.000 [19.000, 23.250]","0.500 [0.393, 0.593]"
STABL ALasso,"0.339 [0.186, 0.468]","25.643 [22.876, 28.609]","19.737 [17.256, 22.091]","20.000 [18.750, 22.000]","0.500 [0.395, 0.586]"
STABL ElasticNet,"0.322 [0.165, 0.457]","25.967 [23.060, 29.124]","20.218 [17.905, 22.673]","37.500 [30.750, 45.250]","0.424 [0.357, 0.500]"
STABL XGBoost,"0.277 [0.114, 0.426]","26.820 [24.008, 29.759]","21.090 [18.699, 23.699]","18.000 [16.000, 20.000]","0.560 [0.481, 0.632]"
