,ROC AUC,Average Precision,N features
STABL ALasso,"0.500 [0.500, 0.500]","0.400 [0.325, 0.487]","0.000 [0.000, 0.000]"
STABL Lasso,"0.500 [0.500, 0.500]","0.400 [0.325, 0.487]","0.000 [0.000, 0.000]"
STABL XGBoost,"0.727 [0.597, 0.786]","0.679 [0.550, 0.783]","30.000 [30.000, 30.000]"
