file,folds,mean,median,std,min,max,25%,75%,unique_feats
Selected Features Intersect STABL ALasso & STABL ElasticNet.csv,100,3.86,4.0,1.84,0,10,3.0,5.0,38
Selected Features Intersect STABL Lasso & STABL ALasso.csv,100,4.28,4.0,1.88,0,10,3.0,5.25,39
Selected Features Intersect STABL Lasso & STABL ElasticNet.csv,100,4.1,4.0,2.01,0,10,3.0,5.0,41
Selected Features STABL ALasso.csv,100,4.61,5.0,1.9,1,10,3.0,6.0,40
Selected Features STABL ElasticNet.csv,100,7.76,5.0,7.04,0,41,4.0,9.0,104
Selected Features STABL Lasso.csv,100,5.53,5.5,2.53,1,14,4.0,7.0,44
Selected Features Union STABL ALasso & STABL ElasticNet.csv,100,8.51,6.0,6.84,1,42,5.0,9.25,104
Selected Features Union STABL Lasso & STABL ALasso.csv,100,5.86,6.0,2.52,1,14,4.0,7.25,45
Selected Features Union STABL Lasso & STABL ElasticNet.csv,100,9.19,7.5,6.82,1,42,5.75,10.25,105
