,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000588)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
artificial.1,0.363,0.242,0.094,0.023,0.0,0.0,0.0,0.0,0.0,0.0
artificial.2,0.188,0.126,0.068,0.043,0.012,0.0,0.0,0.0,0.0,0.0
artificial.3,0.256,0.183,0.109,0.062,0.026,0.003,0.0,0.0,0.0,0.0
artificial.4,0.223,0.155,0.065,0.02,0.002,0.0,0.0,0.0,0.0,0.0
artificial.5,0.241,0.172,0.066,0.015,0.004,0.0,0.0,0.0,0.0,0.0
artificial.6,0.202,0.118,0.055,0.009,0.0,0.0,0.0,0.0,0.0,0.0
artificial.7,0.63,0.6,0.543,0.396,0.127,0.005,0.0,0.0,0.0,0.0
artificial.8,0.258,0.172,0.092,0.032,0.005,0.0,0.0,0.0,0.0,0.0
artificial.9,0.328,0.263,0.239,0.16,0.034,0.0,0.0,0.0,0.0,0.0
artificial.10,0.395,0.344,0.277,0.17,0.041,0.014,0.0,0.0,0.0,0.0
artificial.11,0.238,0.145,0.063,0.014,0.001,0.0,0.0,0.0,0.0,0.0
artificial.12,0.166,0.098,0.024,0.008,0.002,0.0,0.0,0.0,0.0,0.0
artificial.13,0.207,0.145,0.092,0.043,0.017,0.005,0.0,0.0,0.0,0.0
artificial.14,0.339,0.225,0.135,0.038,0.004,0.0,0.0,0.0,0.0,0.0
artificial.15,0.257,0.182,0.132,0.054,0.011,0.0,0.0,0.0,0.0,0.0
artificial.16,0.403,0.285,0.144,0.03,0.001,0.001,0.0,0.0,0.0,0.0
artificial.17,0.258,0.167,0.09,0.02,0.0,0.0,0.0,0.0,0.0,0.0
artificial.18,0.452,0.379,0.284,0.143,0.046,0.0,0.0,0.0,0.0,0.0
artificial.19,0.199,0.143,0.106,0.075,0.031,0.001,0.0,0.0,0.0,0.0
artificial.20,0.132,0.074,0.039,0.011,0.002,0.0,0.0,0.0,0.0,0.0
artificial.21,0.374,0.283,0.197,0.121,0.051,0.018,0.0,0.0,0.0,0.0
artificial.22,0.194,0.122,0.077,0.031,0.009,0.004,0.0,0.0,0.0,0.0
artificial.23,0.236,0.156,0.085,0.032,0.003,0.0,0.0,0.0,0.0,0.0
artificial.24,0.371,0.312,0.218,0.11,0.024,0.0,0.0,0.0,0.0,0.0
artificial.25,0.193,0.114,0.046,0.015,0.004,0.001,0.0,0.0,0.0,0.0
artificial.26,0.28,0.218,0.137,0.065,0.024,0.0,0.0,0.0,0.0,0.0
artificial.27,0.296,0.227,0.143,0.048,0.005,0.001,0.0,0.0,0.0,0.0
artificial.28,0.463,0.359,0.248,0.11,0.012,0.0,0.0,0.0,0.0,0.0
artificial.29,0.331,0.226,0.108,0.027,0.005,0.0,0.0,0.0,0.0,0.0
artificial.30,0.562,0.48,0.354,0.169,0.044,0.012,0.0,0.0,0.0,0.0
artificial.31,0.286,0.19,0.113,0.041,0.007,0.0,0.0,0.0,0.0,0.0
artificial.32,0.457,0.35,0.209,0.073,0.005,0.0,0.0,0.0,0.0,0.0
artificial.33,0.621,0.606,0.575,0.345,0.066,0.0,0.0,0.0,0.0,0.0
artificial.34,0.497,0.446,0.361,0.245,0.095,0.011,0.0,0.0,0.0,0.0
artificial.35,0.7,0.646,0.528,0.337,0.082,0.002,0.0,0.0,0.0,0.0
artificial.36,0.204,0.147,0.092,0.025,0.001,0.0,0.0,0.0,0.0,0.0
artificial.37,0.3,0.216,0.118,0.053,0.021,0.006,0.0,0.0,0.0,0.0
artificial.38,0.276,0.158,0.053,0.011,0.0,0.0,0.0,0.0,0.0,0.0
artificial.39,0.274,0.169,0.08,0.038,0.007,0.003,0.0,0.0,0.0,0.0
artificial.40,0.184,0.114,0.047,0.02,0.007,0.0,0.0,0.0,0.0,0.0
artificial.41,0.333,0.267,0.198,0.116,0.036,0.012,0.0,0.0,0.0,0.0
artificial.42,0.175,0.093,0.044,0.013,0.001,0.0,0.0,0.0,0.0,0.0
artificial.43,0.151,0.084,0.032,0.005,0.001,0.0,0.0,0.0,0.0,0.0
artificial.44,0.469,0.41,0.316,0.138,0.017,0.0,0.0,0.0,0.0,0.0
artificial.45,0.295,0.243,0.186,0.098,0.024,0.002,0.0,0.0,0.0,0.0
artificial.46,0.195,0.119,0.074,0.041,0.011,0.0,0.0,0.0,0.0,0.0
artificial.47,0.188,0.128,0.055,0.019,0.005,0.0,0.0,0.0,0.0,0.0
artificial.48,0.215,0.157,0.096,0.056,0.011,0.0,0.0,0.0,0.0,0.0
artificial.49,0.199,0.14,0.095,0.051,0.019,0.0,0.0,0.0,0.0,0.0
artificial.50,0.583,0.517,0.387,0.219,0.075,0.012,0.0,0.0,0.0,0.0
artificial.51,0.238,0.155,0.09,0.032,0.003,0.0,0.0,0.0,0.0,0.0
artificial.52,0.245,0.169,0.083,0.031,0.002,0.0,0.0,0.0,0.0,0.0
artificial.53,0.203,0.13,0.06,0.015,0.004,0.001,0.0,0.0,0.0,0.0
artificial.54,0.152,0.102,0.057,0.019,0.003,0.001,0.0,0.0,0.0,0.0
artificial.55,0.161,0.099,0.045,0.011,0.002,0.0,0.0,0.0,0.0,0.0
artificial.56,0.277,0.234,0.186,0.138,0.07,0.028,0.0,0.0,0.0,0.0
artificial.57,0.312,0.196,0.072,0.01,0.004,0.0,0.0,0.0,0.0,0.0
artificial.58,0.204,0.138,0.061,0.022,0.006,0.0,0.0,0.0,0.0,0.0
artificial.59,0.548,0.529,0.458,0.305,0.089,0.001,0.0,0.0,0.0,0.0
artificial.60,0.364,0.314,0.193,0.069,0.009,0.002,0.0,0.0,0.0,0.0
artificial.61,0.407,0.37,0.288,0.141,0.016,0.0,0.0,0.0,0.0,0.0
artificial.62,0.252,0.202,0.158,0.099,0.028,0.001,0.0,0.0,0.0,0.0
artificial.63,0.381,0.289,0.152,0.043,0.006,0.0,0.0,0.0,0.0,0.0
artificial.64,0.334,0.262,0.157,0.06,0.011,0.0,0.0,0.0,0.0,0.0
artificial.65,0.387,0.35,0.276,0.189,0.072,0.01,0.0,0.0,0.0,0.0
artificial.66,0.347,0.293,0.226,0.13,0.034,0.001,0.0,0.0,0.0,0.0
artificial.67,0.306,0.233,0.153,0.085,0.019,0.0,0.0,0.0,0.0,0.0
artificial.68,0.61,0.476,0.266,0.08,0.007,0.001,0.0,0.0,0.0,0.0
artificial.69,0.283,0.202,0.103,0.038,0.013,0.0,0.0,0.0,0.0,0.0
artificial.70,0.224,0.134,0.054,0.012,0.0,0.0,0.0,0.0,0.0,0.0
artificial.71,0.273,0.204,0.121,0.08,0.03,0.0,0.0,0.0,0.0,0.0
artificial.72,0.229,0.155,0.102,0.062,0.031,0.0,0.0,0.0,0.0,0.0
artificial.73,0.22,0.147,0.079,0.031,0.004,0.0,0.0,0.0,0.0,0.0
artificial.74,0.312,0.221,0.103,0.039,0.003,0.0,0.0,0.0,0.0,0.0
artificial.75,0.195,0.118,0.049,0.011,0.002,0.0,0.0,0.0,0.0,0.0
artificial.76,0.31,0.196,0.081,0.012,0.001,0.0,0.0,0.0,0.0,0.0
artificial.77,0.163,0.1,0.057,0.026,0.005,0.0,0.0,0.0,0.0,0.0
artificial.78,0.413,0.307,0.197,0.088,0.018,0.0,0.0,0.0,0.0,0.0
artificial.79,0.252,0.156,0.069,0.02,0.006,0.001,0.0,0.0,0.0,0.0
artificial.80,0.332,0.286,0.202,0.094,0.022,0.0,0.0,0.0,0.0,0.0
artificial.81,0.216,0.159,0.116,0.058,0.016,0.0,0.0,0.0,0.0,0.0
artificial.82,0.214,0.142,0.08,0.034,0.001,0.0,0.0,0.0,0.0,0.0
artificial.83,0.215,0.142,0.086,0.021,0.003,0.0,0.0,0.0,0.0,0.0
artificial.84,0.262,0.223,0.182,0.111,0.033,0.008,0.0,0.0,0.0,0.0
artificial.85,0.533,0.452,0.3,0.126,0.023,0.0,0.0,0.0,0.0,0.0
artificial.86,0.654,0.653,0.612,0.467,0.213,0.05,0.0,0.0,0.0,0.0
artificial.87,0.212,0.147,0.07,0.023,0.004,0.0,0.0,0.0,0.0,0.0
artificial.88,0.43,0.326,0.186,0.068,0.006,0.0,0.0,0.0,0.0,0.0
artificial.89,0.252,0.188,0.104,0.04,0.011,0.0,0.0,0.0,0.0,0.0
artificial.90,0.221,0.161,0.093,0.047,0.015,0.005,0.0,0.0,0.0,0.0
artificial.91,0.334,0.261,0.177,0.086,0.022,0.002,0.0,0.0,0.0,0.0
