,ROC AUC,Average Precision
STABL Lasso,"0.349 [0.277, 0.424]","0.341 [0.275, 0.426]"
STABL XGBoost,"0.391 [0.326, 0.456]","0.360 [0.289, 0.438]"
STABL ALasso,"0.380 [0.301, 0.463]","0.367 [0.295, 0.450]"
Union STABL Lasso & STABL XGBoost,"0.404 [0.321, 0.486]","0.372 [0.296, 0.465]"
Intersect STABL Lasso & STABL XGBoost,"0.461 [0.429, 0.487]","0.391 [0.325, 0.462]"
Union STABL Lasso & STABL ALasso,"0.366 [0.286, 0.443]","0.369 [0.297, 0.453]"
Intersect STABL Lasso & STABL ALasso,"0.366 [0.290, 0.442]","0.344 [0.282, 0.427]"
Union STABL XGBoost & STABL ALasso,"0.416 [0.338, 0.495]","0.373 [0.300, 0.459]"
Intersect STABL XGBoost & STABL ALasso,"0.461 [0.432, 0.487]","0.391 [0.323, 0.471]"
