,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000588)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
cMCs_HLADR_GMCSF,0.412,0.345,0.281,0.153,0.026,0.0,0.0,0.0,0.0,0.0
intMCs_pCREB_GMCSF,0.944,0.917,0.857,0.67,0.238,0.007,0.0,0.0,0.0,0.0
intMCs_pERK_GMCSF,0.233,0.106,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Granulocytes_pNFkB_GMCSF,0.356,0.347,0.283,0.174,0.039,0.0,0.0,0.0,0.0,0.0
intMCs_pNFkB_GMCSF,0.333,0.227,0.114,0.025,0.002,0.0,0.0,0.0,0.0,0.0
ncMCs_pNFkB_GMCSF,0.359,0.213,0.07,0.008,0.0,0.0,0.0,0.0,0.0,0.0
pDCs_pNFkB_GMCSF,0.305,0.151,0.046,0.016,0.001,0.0,0.0,0.0,0.0,0.0
Granulocytes_pS6_GMCSF,0.975,0.936,0.785,0.506,0.192,0.006,0.0,0.0,0.0,0.0
MDSCs_pS6_GMCSF,0.089,0.031,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cMCs_pS6_GMCSF,0.122,0.037,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intMCs_pS6_GMCSF,0.46,0.379,0.141,0.01,0.0,0.0,0.0,0.0,0.0,0.0
mDCs_pS6_GMCSF,0.211,0.175,0.119,0.03,0.0,0.0,0.0,0.0,0.0,0.0
ncMCs_pS6_GMCSF,0.579,0.505,0.276,0.057,0.0,0.0,0.0,0.0,0.0,0.0
pDCs_pS6_GMCSF,0.074,0.036,0.026,0.009,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tnaive_pSTAT3_GMCSF,0.949,0.837,0.605,0.278,0.002,0.0,0.0,0.0,0.0,0.0
Granulocytes_pSTAT3_GMCSF,0.513,0.27,0.098,0.034,0.007,0.0,0.0,0.0,0.0,0.0
MDSCs_pSTAT3_GMCSF,0.531,0.506,0.487,0.486,0.355,0.048,0.0,0.0,0.0,0.0
Granulocytes_pSTAT5_GMCSF,0.686,0.557,0.367,0.193,0.129,0.002,0.0,0.0,0.0,0.0
MDSCs_pSTAT5_GMCSF,0.167,0.073,0.025,0.007,0.003,0.0,0.0,0.0,0.0,0.0
cMCs_pSTAT5_GMCSF,0.01,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intMCs_pSTAT5_GMCSF,0.01,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mDCs_pSTAT5_GMCSF,0.018,0.005,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0
ncMCs_pSTAT5_GMCSF,0.303,0.129,0.018,0.001,0.0,0.0,0.0,0.0,0.0,0.0
pDCs_pSTAT5_GMCSF,0.529,0.348,0.163,0.048,0.011,0.0,0.0,0.0,0.0,0.0
MDSCs_pSTAT6_GMCSF,0.004,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0
cMCs_pSTAT6_GMCSF,0.013,0.007,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
intMCs_pSTAT6_GMCSF,0.007,0.006,0.003,0.001,0.001,0.0,0.0,0.0,0.0,0.0
mDCs_pSTAT6_GMCSF,0.011,0.006,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pDCs_pSTAT6_GMCSF,0.106,0.06,0.022,0.005,0.004,0.0,0.0,0.0,0.0,0.0
