,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.656 [0.504, 0.800]","0.338 [0.178, 0.560]","5.500 [4.000, 7.000]","0.250 [0.154, 0.375]"
STABL ALasso,"0.627 [0.475, 0.785]","0.289 [0.156, 0.529]","5.000 [3.000, 6.000]","0.250 [0.167, 0.375]"
STABL ElasticNet,"0.606 [0.455, 0.750]","0.297 [0.141, 0.503]","5.000 [4.000, 9.000]","0.222 [0.133, 0.333]"
