,STABL Lasso,STABL ALasso,STABL ElasticNet,STABL XGBoost
STABL Lasso,1.0,0.115,0.001,0.011
STABL ALasso,0.104,1.0,0.003,0.006
STABL ElasticNet,0.0,0.002,1.0,0.0
STABL XGBoost,0.012,0.003,0.0,1.0
