,STABL Lasso,STABL ElasticNet,STABL ALasso,STABL XGBoost,STABL Lasso (existing-fit),STABL ElasticNet (existing-fit),STABL ALasso (existing-fit),STABL XGBoost (existing-fit)
STABL Lasso,1.0,4.1124671114688854e-22,5.5466604568501645e-39,1.3037855683675699e-33,1.0,4.1124671114688854e-22,5.5466604568501645e-39,1.3037855683675699e-33
STABL ElasticNet,4.1124671114688854e-22,1.0,5.6329710457395205e-39,4.5734263428332875e-33,4.1124671114688854e-22,1.0,5.6329710457395205e-39,4.5734263428332875e-33
STABL ALasso,5.5466604568501645e-39,5.6329710457395205e-39,1.0,5.1099644009840575e-39,5.5466604568501645e-39,5.6329710457395205e-39,1.0,5.1099644009840575e-39
STABL XGBoost,1.3037855683675699e-33,4.5734263428332875e-33,5.1099644009840575e-39,1.0,1.3037855683675699e-33,4.5734263428332875e-33,5.1099644009840575e-39,1.0
STABL Lasso (existing-fit),1.0,4.1124671114688854e-22,5.5466604568501645e-39,1.3037855683675699e-33,1.0,4.1124671114688854e-22,5.5466604568501645e-39,1.3037855683675699e-33
STABL ElasticNet (existing-fit),4.1124671114688854e-22,1.0,5.6329710457395205e-39,4.5734263428332875e-33,4.1124671114688854e-22,1.0,5.6329710457395205e-39,4.5734263428332875e-33
STABL ALasso (existing-fit),5.5466604568501645e-39,5.6329710457395205e-39,1.0,5.1099644009840575e-39,5.5466604568501645e-39,5.6329710457395205e-39,1.0,5.1099644009840575e-39
STABL XGBoost (existing-fit),1.3037855683675699e-33,4.5734263428332875e-33,5.1099644009840575e-39,1.0,1.3037855683675699e-33,4.5734263428332875e-33,5.1099644009840575e-39,1.0
