,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.608 [0.527, 0.678]","0.569 [0.486, 0.670]","80.000 [44.750, 124.250]","0.132 [0.088, 0.182]"
STABL ALasso,"0.619 [0.544, 0.692]","0.579 [0.491, 0.682]","75.500 [40.750, 133.000]","0.122 [0.082, 0.175]"
STABL ElasticNet,"0.615 [0.543, 0.688]","0.575 [0.493, 0.678]","70.000 [37.750, 120.000]","0.118 [0.077, 0.167]"
STABL XGBoost,"0.602 [0.525, 0.675]","0.593 [0.508, 0.699]","20.000 [16.000, 25.000]","0.200 [0.141, 0.258]"
