,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.863 [0.769, 0.937]","0.555 [0.331, 0.788]","38.000 [30.000, 48.000]","0.250 [0.203, 0.302]"
STABL ElasticNet,"0.732 [0.603, 0.844]","0.401 [0.220, 0.639]","165.000 [87.250, 252.750]","0.137 [0.070, 0.251]"
STABL ALasso,"0.500 [0.500, 0.500]","0.176 [0.110, 0.253]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
STABL XGBoost,"0.932 [0.852, 0.988]","0.847 [0.684, 0.957]","8.000 [6.000, 11.000]","0.125 [0.067, 0.200]"
STABL Lasso (existing-fit),"0.884 [0.804, 0.953]","0.597 [0.363, 0.821]","38.000 [30.000, 48.000]","0.033 [0.027, 0.039]"
STABL ElasticNet (existing-fit),"0.769 [0.662, 0.865]","0.335 [0.200, 0.556]","165.000 [87.250, 252.750]","0.006 [0.005, 0.009]"
STABL ALasso (existing-fit),"0.500 [0.500, 0.500]","0.176 [0.099, 0.253]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]"
STABL XGBoost (existing-fit),"0.954 [0.893, 0.995]","0.881 [0.720, 0.979]","8.000 [6.000, 11.000]","0.108 [0.090, 0.130]"
