,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.499 [0.429, 0.570]","0.498 [0.426, 0.593]","2.000 [0.000, 4.000]","0.000 [0.000, 0.167]"
STABL ALasso,"0.478 [0.422, 0.536]","0.494 [0.429, 0.570]","1.000 [0.000, 3.000]","0.000 [0.000, 0.000]"
STABL XGBoost,"0.608 [0.536, 0.676]","0.592 [0.499, 0.702]","6.000 [4.000, 12.000]","0.200 [0.125, 0.294]"
