,ROC AUC,Average Precision
STABL Lasso,"0.594 [0.523, 0.667]","0.571 [0.497, 0.675]"
STABL XGBoost,"0.621 [0.549, 0.695]","0.565 [0.488, 0.667]"
STABL ALasso,"0.468 [0.405, 0.532]","0.477 [0.408, 0.554]"
Union STABL Lasso & STABL XGBoost,"0.622 [0.544, 0.696]","0.580 [0.500, 0.689]"
Intersect STABL Lasso & STABL XGBoost,"0.436 [0.382, 0.490]","0.462 [0.402, 0.538]"
Union STABL Lasso & STABL ALasso,"0.590 [0.519, 0.665]","0.565 [0.484, 0.662]"
Intersect STABL Lasso & STABL ALasso,"0.498 [0.439, 0.557]","0.496 [0.430, 0.577]"
Union STABL XGBoost & STABL ALasso,"0.615 [0.537, 0.692]","0.567 [0.486, 0.663]"
Intersect STABL XGBoost & STABL ALasso,"0.500 [0.478, 0.522]","0.509 [0.443, 0.573]"
