,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.499 [0.432, 0.566]","0.498 [0.425, 0.592]","2.000 [0.000, 4.000]","0.000 [0.000, 0.167]"
STABL ALasso,"0.478 [0.425, 0.538]","0.494 [0.424, 0.566]","1.000 [0.000, 3.000]","0.000 [0.000, 0.000]"
STABL XGBoost,"0.592 [0.520, 0.670]","0.567 [0.494, 0.662]","5.500 [4.000, 10.250]","0.200 [0.125, 0.300]"
