,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000588)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
artificial.1,0.429,0.273,0.126,0.021,0.001,0.0,0.0,0.0,0.0,0.0
artificial.2,0.234,0.095,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.3,0.028,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.4,0.152,0.101,0.063,0.014,0.003,0.0,0.0,0.0,0.0,0.0
artificial.5,0.029,0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.6,0.485,0.295,0.119,0.013,0.0,0.0,0.0,0.0,0.0,0.0
artificial.7,0.674,0.602,0.503,0.357,0.181,0.018,0.0,0.0,0.0,0.0
artificial.8,0.308,0.177,0.061,0.018,0.01,0.001,0.0,0.0,0.0,0.0
artificial.9,0.488,0.31,0.167,0.113,0.041,0.001,0.0,0.0,0.0,0.0
artificial.10,0.316,0.167,0.044,0.01,0.0,0.0,0.0,0.0,0.0,0.0
artificial.11,0.469,0.406,0.362,0.233,0.073,0.001,0.0,0.0,0.0,0.0
artificial.12,0.387,0.183,0.075,0.009,0.002,0.0,0.0,0.0,0.0,0.0
artificial.13,0.395,0.283,0.206,0.152,0.092,0.006,0.0,0.0,0.0,0.0
artificial.14,0.524,0.356,0.184,0.036,0.001,0.0,0.0,0.0,0.0,0.0
artificial.15,0.915,0.909,0.776,0.522,0.268,0.042,0.0,0.0,0.0,0.0
artificial.16,0.014,0.009,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.17,0.366,0.195,0.073,0.008,0.0,0.0,0.0,0.0,0.0,0.0
artificial.18,0.105,0.053,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.19,0.475,0.351,0.212,0.081,0.009,0.0,0.0,0.0,0.0,0.0
artificial.20,0.212,0.104,0.034,0.014,0.003,0.0,0.0,0.0,0.0,0.0
artificial.21,0.406,0.252,0.074,0.019,0.006,0.0,0.0,0.0,0.0,0.0
artificial.22,0.363,0.207,0.074,0.018,0.003,0.0,0.0,0.0,0.0,0.0
artificial.23,0.168,0.059,0.016,0.001,0.0,0.0,0.0,0.0,0.0,0.0
artificial.24,0.194,0.091,0.011,0.001,0.0,0.0,0.0,0.0,0.0,0.0
artificial.25,0.556,0.544,0.451,0.172,0.014,0.0,0.0,0.0,0.0,0.0
artificial.26,0.207,0.084,0.035,0.011,0.0,0.0,0.0,0.0,0.0,0.0
