,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.398 [0.277, 0.512]","0.196 [0.134, 0.289]","3.000 [0.000, 9.000]","0.000 [0.000, 0.114]"
STABL ALasso,"0.400 [0.280, 0.541]","0.207 [0.138, 0.296]","3.000 [0.000, 7.250]","0.000 [0.000, 0.091]"
STABL XGBoost,"0.475 [0.332, 0.612]","0.251 [0.171, 0.394]","4.000 [2.000, 6.000]","0.125 [0.000, 0.250]"
