,ROC AUC,Average Precision
STABL Lasso,"0.607 [0.487, 0.725]","0.295 [0.203, 0.434]"
STABL XGBoost,"0.684 [0.574, 0.797]","0.377 [0.256, 0.553]"
STABL ALasso,"0.611 [0.491, 0.732]","0.306 [0.211, 0.461]"
Union STABL Lasso & STABL XGBoost,"0.622 [0.510, 0.740]","0.310 [0.219, 0.471]"
Intersect STABL Lasso & STABL XGBoost,"0.677 [0.553, 0.785]","0.383 [0.257, 0.564]"
Union STABL Lasso & STABL ALasso,"0.607 [0.487, 0.724]","0.298 [0.205, 0.438]"
Intersect STABL Lasso & STABL ALasso,"0.630 [0.520, 0.732]","0.317 [0.216, 0.466]"
Union STABL XGBoost & STABL ALasso,"0.624 [0.507, 0.744]","0.314 [0.216, 0.466]"
Intersect STABL XGBoost & STABL ALasso,"0.682 [0.560, 0.793]","0.384 [0.260, 0.558]"
