,ROC AUC,Average Precision
STABL Lasso,"0.521 [0.445, 0.600]","0.512 [0.430, 0.615]"
STABL ALasso,"0.497 [0.415, 0.578]","0.490 [0.418, 0.588]"
STABL ElasticNet,"0.454 [0.383, 0.531]","0.451 [0.381, 0.539]"
STABL XGBoost,"0.534 [0.456, 0.609]","0.534 [0.457, 0.641]"
Union STABL Lasso & STABL ALasso,"0.507 [0.428, 0.582]","0.502 [0.418, 0.595]"
Intersect STABL Lasso & STABL ALasso,"0.514 [0.444, 0.587]","0.502 [0.427, 0.603]"
Union STABL Lasso & STABL ElasticNet,"0.525 [0.452, 0.602]","0.523 [0.447, 0.622]"
Intersect STABL Lasso & STABL ElasticNet,"0.438 [0.364, 0.518]","0.443 [0.373, 0.530]"
Union STABL Lasso & STABL XGBoost,"0.523 [0.441, 0.600]","0.521 [0.440, 0.624]"
Intersect STABL Lasso & STABL XGBoost,"0.539 [0.459, 0.612]","0.510 [0.433, 0.612]"
Union STABL ALasso & STABL ElasticNet,"0.500 [0.425, 0.580]","0.493 [0.418, 0.592]"
Intersect STABL ALasso & STABL ElasticNet,"0.443 [0.371, 0.520]","0.448 [0.382, 0.528]"
Union STABL ALasso & STABL XGBoost,"0.523 [0.445, 0.601]","0.527 [0.450, 0.627]"
Intersect STABL ALasso & STABL XGBoost,"0.518 [0.440, 0.598]","0.493 [0.419, 0.588]"
Union STABL ElasticNet & STABL XGBoost,"0.538 [0.463, 0.611]","0.533 [0.453, 0.642]"
Intersect STABL ElasticNet & STABL XGBoost,"0.454 [0.378, 0.527]","0.455 [0.386, 0.532]"
