,ROC AUC,Average Precision
STABL Lasso,"0.445 [0.369, 0.523]","0.453 [0.383, 0.546]"
STABL XGBoost,"0.321 [0.262, 0.377]","0.433 [0.369, 0.502]"
STABL ALasso,"0.410 [0.336, 0.487]","0.429 [0.364, 0.509]"
Union STABL Lasso & STABL XGBoost,"0.459 [0.386, 0.531]","0.460 [0.392, 0.547]"
Intersect STABL Lasso & STABL XGBoost,"0.418 [0.382, 0.450]","0.485 [0.415, 0.548]"
Union STABL Lasso & STABL ALasso,"0.456 [0.384, 0.526]","0.462 [0.391, 0.555]"
Intersect STABL Lasso & STABL ALasso,"0.407 [0.336, 0.485]","0.427 [0.362, 0.503]"
Union STABL XGBoost & STABL ALasso,"0.426 [0.348, 0.502]","0.440 [0.375, 0.518]"
Intersect STABL XGBoost & STABL ALasso,"0.439 [0.406, 0.469]","0.493 [0.434, 0.559]"
