,"{'alpha': np.float64(3.1622776601683795), 'l1_ratio': 0.5}","{'alpha': np.float64(3.1622776601683795), 'l1_ratio': 0.7}","{'alpha': np.float64(3.1622776601683795), 'l1_ratio': 0.9}","{'alpha': np.float64(4.641588833612778), 'l1_ratio': 0.5}","{'alpha': np.float64(4.641588833612778), 'l1_ratio': 0.7}","{'alpha': np.float64(4.641588833612778), 'l1_ratio': 0.9}","{'alpha': np.float64(6.812920690579611), 'l1_ratio': 0.5}","{'alpha': np.float64(6.812920690579611), 'l1_ratio': 0.7}","{'alpha': np.float64(6.812920690579611), 'l1_ratio': 0.9}","{'alpha': np.float64(10.0), 'l1_ratio': 0.5}","{'alpha': np.float64(10.0), 'l1_ratio': 0.7}","{'alpha': np.float64(10.0), 'l1_ratio': 0.9}","{'alpha': np.float64(14.67799267622069), 'l1_ratio': 0.5}","{'alpha': np.float64(14.67799267622069), 'l1_ratio': 0.7}","{'alpha': np.float64(14.67799267622069), 'l1_ratio': 0.9}","{'alpha': np.float64(21.544346900318832), 'l1_ratio': 0.5}","{'alpha': np.float64(21.544346900318832), 'l1_ratio': 0.7}","{'alpha': np.float64(21.544346900318832), 'l1_ratio': 0.9}","{'alpha': np.float64(31.622776601683793), 'l1_ratio': 0.5}","{'alpha': np.float64(31.622776601683793), 'l1_ratio': 0.7}","{'alpha': np.float64(31.622776601683793), 'l1_ratio': 0.9}","{'alpha': np.float64(46.41588833612777), 'l1_ratio': 0.5}","{'alpha': np.float64(46.41588833612777), 'l1_ratio': 0.7}","{'alpha': np.float64(46.41588833612777), 'l1_ratio': 0.9}","{'alpha': np.float64(68.12920690579611), 'l1_ratio': 0.5}","{'alpha': np.float64(68.12920690579611), 'l1_ratio': 0.7}","{'alpha': np.float64(68.12920690579611), 'l1_ratio': 0.9}","{'alpha': np.float64(100.0), 'l1_ratio': 0.5}","{'alpha': np.float64(100.0), 'l1_ratio': 0.7}","{'alpha': np.float64(100.0), 'l1_ratio': 0.9}"
artificial.53,0.36,0.206,0.101,0.239,0.113,0.037,0.129,0.04,0.01,0.048,0.007,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.54,0.599,0.439,0.288,0.487,0.32,0.184,0.365,0.194,0.104,0.214,0.094,0.025,0.089,0.009,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.55,0.249,0.124,0.045,0.146,0.063,0.013,0.078,0.025,0.007,0.044,0.013,0.002,0.024,0.001,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.56,0.336,0.2,0.092,0.244,0.117,0.054,0.149,0.065,0.025,0.086,0.035,0.007,0.05,0.007,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.57,0.376,0.241,0.12,0.296,0.168,0.082,0.219,0.116,0.039,0.137,0.043,0.006,0.047,0.003,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.58,0.381,0.234,0.122,0.283,0.15,0.08,0.203,0.101,0.043,0.147,0.065,0.031,0.106,0.03,0.001,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.59,0.399,0.234,0.115,0.326,0.178,0.075,0.26,0.131,0.054,0.206,0.095,0.038,0.146,0.041,0.001,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.60,0.239,0.102,0.034,0.122,0.04,0.015,0.062,0.021,0.005,0.032,0.009,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.61,0.394,0.256,0.13,0.272,0.131,0.051,0.155,0.053,0.01,0.059,0.012,0.001,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.62,0.36,0.207,0.101,0.221,0.1,0.03,0.11,0.031,0.011,0.039,0.011,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.63,0.353,0.202,0.097,0.234,0.122,0.049,0.147,0.07,0.017,0.096,0.031,0.008,0.047,0.012,0.001,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.64,0.414,0.26,0.148,0.279,0.132,0.054,0.154,0.061,0.014,0.08,0.022,0.006,0.032,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.65,0.27,0.12,0.03,0.15,0.038,0.012,0.051,0.015,0.002,0.016,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.66,0.307,0.166,0.085,0.202,0.107,0.045,0.123,0.055,0.026,0.082,0.045,0.017,0.065,0.018,0.002,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.67,0.428,0.257,0.153,0.297,0.152,0.084,0.17,0.069,0.029,0.07,0.014,0.002,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.68,0.334,0.179,0.077,0.217,0.1,0.042,0.141,0.061,0.023,0.103,0.059,0.017,0.08,0.022,0.003,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.69,0.694,0.523,0.381,0.532,0.365,0.237,0.357,0.209,0.098,0.194,0.06,0.008,0.046,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.70,0.508,0.342,0.204,0.362,0.201,0.083,0.19,0.052,0.014,0.044,0.005,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.71,0.254,0.119,0.046,0.164,0.079,0.028,0.119,0.049,0.019,0.084,0.041,0.01,0.062,0.018,0.002,0.03,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.72,0.515,0.307,0.145,0.357,0.182,0.061,0.189,0.059,0.015,0.064,0.011,0.001,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.73,0.343,0.175,0.086,0.212,0.105,0.041,0.13,0.051,0.018,0.079,0.026,0.008,0.042,0.007,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.74,0.434,0.243,0.113,0.285,0.126,0.053,0.147,0.048,0.015,0.051,0.015,0.0,0.015,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.75,0.441,0.292,0.151,0.345,0.189,0.091,0.241,0.107,0.035,0.148,0.066,0.015,0.095,0.023,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.76,0.29,0.129,0.052,0.141,0.046,0.011,0.053,0.006,0.002,0.009,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.77,0.295,0.157,0.076,0.191,0.102,0.047,0.12,0.065,0.024,0.085,0.037,0.011,0.055,0.019,0.001,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.78,0.514,0.376,0.241,0.427,0.286,0.173,0.354,0.236,0.137,0.296,0.176,0.095,0.222,0.115,0.04,0.117,0.017,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.79,0.636,0.478,0.303,0.475,0.276,0.12,0.221,0.056,0.009,0.043,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.80,0.282,0.148,0.066,0.183,0.082,0.036,0.113,0.048,0.007,0.064,0.013,0.002,0.016,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.81,0.359,0.201,0.09,0.273,0.14,0.06,0.196,0.092,0.037,0.159,0.07,0.021,0.12,0.028,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.82,0.556,0.37,0.229,0.45,0.288,0.158,0.364,0.203,0.079,0.256,0.103,0.028,0.122,0.018,0.002,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.83,0.434,0.271,0.16,0.271,0.133,0.06,0.131,0.039,0.004,0.038,0.001,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.84,0.335,0.191,0.099,0.226,0.111,0.037,0.12,0.033,0.005,0.034,0.004,0.001,0.005,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.85,0.375,0.199,0.091,0.214,0.08,0.021,0.079,0.016,0.004,0.017,0.005,0.001,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.86,0.979,0.926,0.839,0.942,0.855,0.739,0.86,0.709,0.474,0.695,0.417,0.212,0.401,0.124,0.016,0.095,0.003,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
