,R2,RMSE,MAE
STABL Lasso,"0.402 [0.262, 0.516]","24.385 [21.633, 27.014]","19.235 [17.130, 21.550]"
STABL ALasso,"0.404 [0.260, 0.530]","24.349 [21.791, 26.931]","19.217 [17.156, 21.369]"
STABL XGBoost,"0.336 [0.176, 0.458]","25.694 [23.112, 28.303]","20.401 [18.241, 22.607]"
Union STABL Lasso & STABL ALasso,"0.408 [0.260, 0.514]","24.275 [21.514, 26.819]","19.227 [17.081, 21.453]"
Intersect STABL Lasso & STABL ALasso,"0.367 [0.241, 0.474]","25.088 [22.167, 27.680]","20.271 [18.183, 22.575]"
Union STABL Lasso & STABL XGBoost,"0.371 [0.214, 0.491]","25.006 [22.286, 27.753]","19.939 [17.695, 22.176]"
Intersect STABL Lasso & STABL XGBoost,"0.367 [0.228, 0.472]","25.088 [22.578, 27.452]","20.271 [18.053, 22.474]"
Union STABL ALasso & STABL XGBoost,"0.367 [0.213, 0.489]","25.090 [22.334, 27.868]","19.976 [17.847, 22.209]"
Intersect STABL ALasso & STABL XGBoost,"0.367 [0.233, 0.474]","25.088 [22.428, 27.817]","20.271 [18.144, 22.474]"
