,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.632 [0.513, 0.740]","0.319 [0.210, 0.457]","3.000 [2.000, 4.000]","0.333 [0.111, 0.500]"
STABL ALasso,"0.604 [0.488, 0.729]","0.323 [0.220, 0.473]","2.000 [2.000, 4.000]","0.250 [0.000, 0.500]"
STABL XGBoost,"0.666 [0.554, 0.768]","0.320 [0.225, 0.467]","8.000 [6.000, 11.000]","0.250 [0.154, 0.333]"
