,ROC AUC,Average Precision
STABL Lasso,"0.573 [0.498, 0.652]","0.552 [0.466, 0.651]"
STABL ALasso,"0.556 [0.479, 0.631]","0.532 [0.456, 0.633]"
STABL ElasticNet,"0.501 [0.430, 0.575]","0.511 [0.433, 0.607]"
STABL XGBoost,"0.644 [0.569, 0.716]","0.631 [0.540, 0.736]"
Union STABL Lasso & STABL ALasso,"0.576 [0.498, 0.652]","0.547 [0.474, 0.647]"
Intersect STABL Lasso & STABL ALasso,"0.552 [0.475, 0.626]","0.542 [0.460, 0.648]"
Union STABL Lasso & STABL ElasticNet,"0.563 [0.487, 0.636]","0.543 [0.464, 0.655]"
Intersect STABL Lasso & STABL ElasticNet,"0.486 [0.411, 0.561]","0.501 [0.415, 0.593]"
Union STABL Lasso & STABL XGBoost,"0.644 [0.567, 0.714]","0.635 [0.547, 0.735]"
Intersect STABL Lasso & STABL XGBoost,"0.577 [0.500, 0.653]","0.544 [0.463, 0.644]"
Union STABL ALasso & STABL ElasticNet,"0.547 [0.475, 0.622]","0.532 [0.451, 0.638]"
Intersect STABL ALasso & STABL ElasticNet,"0.502 [0.426, 0.581]","0.510 [0.431, 0.617]"
Union STABL ALasso & STABL XGBoost,"0.642 [0.565, 0.711]","0.629 [0.537, 0.738]"
Intersect STABL ALasso & STABL XGBoost,"0.572 [0.491, 0.647]","0.548 [0.472, 0.647]"
Union STABL ElasticNet & STABL XGBoost,"0.647 [0.574, 0.725]","0.634 [0.542, 0.736]"
Intersect STABL ElasticNet & STABL XGBoost,"0.491 [0.416, 0.570]","0.487 [0.414, 0.578]"
