,STABL Lasso,STABL ALasso,STABL ElasticNet
STABL Lasso,1.0,0.0,2.0274744112774027e-07
STABL ALasso,0.0,1.0,0.0
STABL ElasticNet,2.0274744112774027e-07,0.0,1.0
