,Feature Name
Feature n°1,CD8_T_cells_HLA-DR+_stromal_area
Feature n°2,CD4_T_cells_CD80_CD86+_stromal_area
Feature n°3,CD8_T_cells_CD80_CD86+_stromal_area
Feature n°4,CD8_T_cells_CD11b+_glandfront_area
Feature n°5,Macrophages_M1_M2_glandfront_area
Feature n°6,Macrophages_M1_M2_stromal_area
Feature n°7,Macrophages_MDSC_glandfront_area
Feature n°8,Dendritic_Cells_CD86CD33dp_glandfront_area
Feature n°9,NKT_glandfront_area
Feature n°10,aSMA-br_vascular_endothelium_glandfront_area
Feature n°11,CD4_T_cells_HLA-DR+_stromal_eccentricity
Feature n°12,CD8_T_cells_CD80_CD86+_glandfront_eccentricity
Feature n°13,CD8_T_cells_CD11b+_glandfront_eccentricity
Feature n°14,NK_cells_CD56brCD16-TIM3hi_glandfront_eccentricity
Feature n°15,Macrophages_MDSC_glandfront_eccentricity
Feature n°16,Dendritic_Cells_CD86+_intragland_eccentricity
Feature n°17,Dendritic_Cells_CD209CD86dp_stromal_eccentricity
Feature n°18,Dendritic_Cells_CD86CD33dp_glandfront_eccentricity
Feature n°19,Gland_mesenchymal_intragland_eccentricity
Feature n°20,Gland_fibroblast_intragland_eccentricity
Feature n°21,CD4_T_cells_FoxP3+_glandfront_celldistance
Feature n°22,CD4_T_cells_CD80_CD86+_glandfront_celldistance
