,ROC AUC,Average Precision
STABL Lasso,"0.697 [0.586, 0.795]","0.359 [0.249, 0.546]"
STABL XGBoost,"0.730 [0.630, 0.815]","0.422 [0.273, 0.620]"
STABL ALasso,"0.663 [0.560, 0.756]","0.320 [0.226, 0.477]"
Union STABL Lasso & STABL XGBoost,"0.736 [0.651, 0.820]","0.406 [0.289, 0.589]"
Intersect STABL Lasso & STABL XGBoost,"0.676 [0.571, 0.778]","0.359 [0.251, 0.537]"
Union STABL Lasso & STABL ALasso,"0.698 [0.594, 0.791]","0.356 [0.252, 0.540]"
Intersect STABL Lasso & STABL ALasso,"0.659 [0.549, 0.760]","0.320 [0.219, 0.484]"
Union STABL XGBoost & STABL ALasso,"0.732 [0.640, 0.813]","0.404 [0.272, 0.591]"
Intersect STABL XGBoost & STABL ALasso,"0.660 [0.553, 0.753]","0.321 [0.221, 0.475]"
