,ROC AUC,Average Precision
STABL Lasso,"0.638 [0.547, 0.715]","0.561 [0.448, 0.687]"
STABL XGBoost,"0.665 [0.586, 0.739]","0.643 [0.529, 0.749]"
STABL ALasso,"0.626 [0.547, 0.706]","0.507 [0.413, 0.615]"
Union STABL Lasso & STABL XGBoost,"0.663 [0.583, 0.746]","0.642 [0.526, 0.760]"
Intersect STABL Lasso & STABL XGBoost,"0.635 [0.550, 0.716]","0.551 [0.456, 0.666]"
Union STABL Lasso & STABL ALasso,"0.630 [0.551, 0.713]","0.548 [0.442, 0.672]"
Intersect STABL Lasso & STABL ALasso,"0.637 [0.561, 0.712]","0.521 [0.427, 0.633]"
Union STABL XGBoost & STABL ALasso,"0.668 [0.592, 0.744]","0.647 [0.535, 0.755]"
Intersect STABL XGBoost & STABL ALasso,"0.616 [0.542, 0.694]","0.492 [0.409, 0.594]"
