,Fold selected features,Fold #features
Fold_43,"['PLEK2', 'MVK', 'MIRLET7D', 'RNA5SP387', 'MT-TR', 'MT-TH', 'YWHAQP5', 'RPL23AP7', 'RN7SL210P']",9
Fold_44,"['PLEK2', 'TIGD7', 'E4F1', 'DDX11L10', 'RPL23AP7', 'MTRNR2L8']",6
Fold_45,"['CDK10', 'GPX1P1', 'RNA5SP387', 'MT-TH', 'KRT8P12', 'RPL34P34', 'YWHAQP5', 'RPL23AP7']",8
Fold_46,"['CDK10', 'MIRLET7D', 'MT-TH', 'HNRNPA3P6', 'YWHAQP5', 'SNORD97', 'RPL23AP7', 'RN7SL60P']",8
Fold_47,"['TRIO', 'MAMSTR', 'CDK10', 'MIRLET7D', 'HNRNPA3P6', 'ITGB2-AS1', 'LINC01001', 'DPP10-AS1', 'RPL34P34', 'YWHAQP5', 'RPL23AP7', 'MTRNR2L8']",12
Fold_48,"['CDK10', 'RPL23AP7', 'RP11-120B7.1']",3
Fold_49,"['TUBA1C', 'Y_RNA.138', 'MT-TC', 'RPL23AP7']",4
Fold_50,"['CDK10', 'RPL34P34', 'YWHAQP5', 'RPL23AP7', 'GOLGA5P1']",5
Fold_51,"['YWHAQP5', 'RPL23AP7', 'MTRNR2L8']",3
Fold_52,"['MVK', 'CDK10', 'RNA5SP387', 'Y_RNA.138', 'MT-TC', 'MT-TH', 'HNRNPA3P6', 'MAGI2-AS3']",8
Fold_53,"['SARS2', 'CDK10', 'MIRLET7D', 'MT-TC', 'HNRNPA3P6', 'GOLGA5P1', 'MTRNR2L8']",7
Fold_54,"['Y_RNA.201', 'MT-TH', 'TRGV10', 'RPL23AP7']",4
Fold_55,"['PLEK2', 'CDK10', 'GPX1P1', 'RPL23AP7']",4
Fold_56,"['MVK', 'TNNI2', 'CDK10', 'MIRLET7D', 'RNA5SP387', 'RPL34P34', 'YWHAQP5', 'RPL23AP7']",8
Fold_57,"['PLEK2', 'CDK10', 'MIRLET7D', 'RPL34P34', 'RPL23AP7', 'GOLGA5P1']",6
Fold_58,"['TRIO', 'CDK10', 'Y_RNA.138', 'Y_RNA.201', 'RPL23AP7', 'THAP9-AS1', 'MTRNR2L8']",7
Fold_59,"['OXTR', 'CDK10', 'MT-TH', 'RPL34P34', 'YWHAQP5', 'RPL23AP7']",6
Fold_60,"['PLEK2', 'HNRNPA3P6', 'MAGI2-AS3', 'RPL23AP7']",4
Fold_61,"['MVK', 'MAGI2', 'HNRNPA3P6', 'RPL34P34', 'YWHAQP5', 'RPL23AP7', 'GOLGA5P1']",7
Fold_62,"['TNNI2', 'RNA5SP387', 'MT-TH', 'ITGB2-AS1', 'KRT8P12', 'RPL34P34', 'RPL23AP7', 'GAPDHP60', 'GOLGA5P1', 'RN7SL210P']",10
Fold_63,"['VAT1L', 'CDK10', 'RNA5SP387', 'Y_RNA.138', 'Y_RNA.201', 'MT-TM', 'MT-TR', 'MT-TH', 'HNRNPA3P6', 'RPL34P34', 'YWHAQP5', 'RPL23AP7']",12
Fold_64,"['MVK', 'CDK10', 'MAGI2', 'Y_RNA.138', 'HNRNPA3P6', 'DPP10-AS1', 'YWHAQP5', 'RPL23AP7', 'AC093627.8', 'RP11-120B7.1']",10
Fold_65,"['PTGS2', 'RPL34P34', 'RPL23AP7', 'GOLGA5P1']",4
Fold_66,"['CLEC3B', 'MT-TH', 'RPL34P34', 'YWHAQP5', 'SNORD97', 'RPL23AP7', 'LILRA6', 'GOLGA5P1', 'MTRNR2L8']",9
Fold_67,"['HNRNPA3P6', 'RPL23AP7']",2
Fold_68,"['IL18', 'MT-TH', 'YWHAQP5', 'SNORD97', 'RPL23AP7', 'RP11-120B7.1']",6
Fold_69,"['TUBA1C', 'Y_RNA.138', 'Y_RNA.201', 'MT-TM', 'RPL34P34', 'MTRNR2L8']",6
Fold_70,"['NEIL2', 'CDK10', 'Y_RNA.138', 'MT-TH', 'HNRNPA3P6', 'RPL23AP7', 'GAPDHP60', 'GOLGA5P1', 'MTRNR2L8', 'MIR142']",10
Fold_71,"['MVK', 'VAT1L', 'CDK10', 'MIRLET7D', 'RNA5SP387', 'Y_RNA.138', 'MT-TR', 'MT-TH', 'HNRNPA3P6', 'DPP10-AS1', 'RPL34P34', 'YWHAQP5', 'RPL23AP7']",13
Fold_72,"['PLEK2', 'OXTR', 'MT-TH', 'RPL23AP7', 'GOLGA5P1']",5
Fold_73,"['TRIO', 'RPL23AP82', 'MT-TM', 'MT-TH', 'MT-TS2', 'HNRNPA3P6', 'RPL23AP7', 'GAPDHP60', 'GOLGA5P1', 'MTRNR2L8']",10
Fold_74,"['MT-TH', 'RP11-570P14.1', 'RPL23AP7']",3
Fold_75,"['RAP1GAP', 'PLEK2', 'CDK10', 'GPX1P1', 'MT-TM', 'MT-TH', 'RPL34P34', 'RPL23AP7', 'RP11-120B7.1', 'LILRA6']",10
Fold_76,"['PLEK2', 'CDK10', 'MT-TH', 'RPL34P34', 'YWHAQP5', 'RPL23AP7', 'GOLGA5P1']",7
Fold_77,"['MIRLET7D', 'RNA5SP387', 'YWHAQP5', 'RPL23AP7', 'THAP9-AS1']",5
Fold_78,"['TRIO', 'CDK10', 'MT-TR', 'MT-TH', 'RPL23AP7', 'GOLGA5P1']",6
Fold_79,"['TRIO', 'MYO18B', 'OXTR', 'CDK10', 'MIRLET7D', 'Y_RNA.138', 'MT-TR', 'MT-TH', 'HNRNPA3P6', 'YWHAQP5', 'RPL23AP7', 'THAP9-AS1', 'HCAR3', 'MTRNR2L8', 'MIR142']",15
