,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.582 [0.506, 0.656]","0.545 [0.468, 0.646]","30.500 [6.750, 59.250]","0.125 [0.053, 0.203]"
STABL ALasso,"0.570 [0.496, 0.642]","0.537 [0.459, 0.634]","29.500 [7.000, 68.000]","0.103 [0.043, 0.185]"
STABL XGBoost,"0.542 [0.485, 0.602]","0.537 [0.464, 0.621]","1.000 [0.000, 3.000]","0.000 [0.000, 0.000]"
