,ROC AUC,Average Precision
STABL Lasso,"0.392 [0.306, 0.472]","0.341 [0.277, 0.432]"
STABL XGBoost,"0.522 [0.432, 0.607]","0.416 [0.339, 0.518]"
STABL ALasso,"0.395 [0.317, 0.473]","0.344 [0.284, 0.427]"
Union STABL Lasso & STABL XGBoost,"0.465 [0.383, 0.549]","0.390 [0.307, 0.492]"
Intersect STABL Lasso & STABL XGBoost,"0.442 [0.360, 0.523]","0.389 [0.312, 0.484]"
Union STABL Lasso & STABL ALasso,"0.396 [0.315, 0.481]","0.345 [0.283, 0.430]"
Intersect STABL Lasso & STABL ALasso,"0.404 [0.321, 0.485]","0.364 [0.287, 0.458]"
Union STABL XGBoost & STABL ALasso,"0.474 [0.389, 0.554]","0.393 [0.317, 0.502]"
Intersect STABL XGBoost & STABL ALasso,"0.450 [0.368, 0.535]","0.386 [0.311, 0.471]"
