file,folds,mean,median,std,min,max,25%,75%,unique_feats
Selected Features STABL ALasso.csv,100,7.86,5.5,6.76,0,25,3.0,11.0,116
Selected Features STABL Lasso.csv,100,11.11,9.0,7.91,0,31,4.0,17.0,138
Selected Features STABL XGBoost.csv,100,2.15,2.0,1.02,0,5,2.0,3.0,24
