,ROC AUC,Average Precision
STABL Lasso,"0.860 [0.745, 0.957]","0.650 [0.418, 0.855]"
STABL ALasso,"0.839 [0.716, 0.937]","0.618 [0.381, 0.816]"
STABL ElasticNet,"0.849 [0.742, 0.935]","0.599 [0.381, 0.811]"
Union STABL Lasso & STABL ALasso,"0.851 [0.724, 0.955]","0.649 [0.411, 0.846]"
Intersect STABL Lasso & STABL ALasso,"0.834 [0.717, 0.937]","0.616 [0.389, 0.809]"
Union STABL Lasso & STABL ElasticNet,"0.880 [0.793, 0.953]","0.615 [0.389, 0.824]"
Intersect STABL Lasso & STABL ElasticNet,"0.825 [0.700, 0.932]","0.640 [0.398, 0.831]"
Union STABL ALasso & STABL ElasticNet,"0.880 [0.783, 0.955]","0.632 [0.404, 0.834]"
Intersect STABL ALasso & STABL ElasticNet,"0.804 [0.677, 0.908]","0.570 [0.357, 0.784]"
