,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.687 [0.571, 0.795]","0.403 [0.282, 0.586]","7.000 [4.000, 17.000]","0.211 [0.125, 0.333]"
STABL ALasso,"0.680 [0.560, 0.794]","0.416 [0.273, 0.609]","6.500 [4.000, 14.000]","0.211 [0.114, 0.333]"
STABL XGBoost,"0.629 [0.489, 0.749]","0.413 [0.264, 0.597]","5.000 [2.000, 9.000]","0.143 [0.051, 0.250]"
