,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000588)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
artificial.1,0.316,0.221,0.102,0.014,0.0,0.0,0.0,0.0,0.0,0.0
artificial.2,0.345,0.244,0.115,0.021,0.001,0.0,0.0,0.0,0.0,0.0
artificial.3,0.265,0.22,0.185,0.132,0.057,0.011,0.0,0.0,0.0,0.0
artificial.4,0.314,0.199,0.09,0.023,0.008,0.001,0.0,0.0,0.0,0.0
artificial.5,0.207,0.093,0.03,0.018,0.007,0.005,0.0,0.0,0.0,0.0
artificial.6,0.496,0.466,0.4,0.292,0.157,0.048,0.0,0.0,0.0,0.0
artificial.7,0.284,0.189,0.117,0.066,0.025,0.002,0.0,0.0,0.0,0.0
artificial.8,0.399,0.287,0.145,0.041,0.016,0.001,0.0,0.0,0.0,0.0
artificial.9,0.398,0.276,0.154,0.054,0.008,0.0,0.0,0.0,0.0,0.0
artificial.10,0.331,0.238,0.132,0.057,0.017,0.006,0.0,0.0,0.0,0.0
artificial.11,0.246,0.22,0.22,0.162,0.069,0.014,0.0,0.0,0.0,0.0
artificial.12,0.321,0.207,0.104,0.022,0.001,0.0,0.0,0.0,0.0,0.0
artificial.13,0.269,0.166,0.087,0.042,0.009,0.002,0.0,0.0,0.0,0.0
artificial.14,0.422,0.285,0.159,0.053,0.013,0.0,0.0,0.0,0.0,0.0
artificial.15,0.25,0.15,0.062,0.023,0.004,0.001,0.0,0.0,0.0,0.0
artificial.16,0.221,0.101,0.05,0.023,0.005,0.0,0.0,0.0,0.0,0.0
artificial.17,0.252,0.134,0.045,0.006,0.0,0.0,0.0,0.0,0.0,0.0
artificial.18,0.374,0.294,0.215,0.119,0.051,0.011,0.0,0.0,0.0,0.0
artificial.19,0.681,0.591,0.435,0.241,0.113,0.03,0.0,0.0,0.0,0.0
artificial.20,0.254,0.138,0.032,0.005,0.0,0.0,0.0,0.0,0.0,0.0
artificial.21,0.41,0.354,0.285,0.195,0.095,0.037,0.0,0.0,0.0,0.0
artificial.22,0.333,0.221,0.106,0.029,0.007,0.0,0.0,0.0,0.0,0.0
artificial.23,0.601,0.487,0.266,0.037,0.0,0.0,0.0,0.0,0.0,0.0
artificial.24,0.302,0.175,0.07,0.007,0.0,0.0,0.0,0.0,0.0,0.0
artificial.25,0.163,0.092,0.027,0.004,0.0,0.0,0.0,0.0,0.0,0.0
artificial.26,0.319,0.173,0.042,0.007,0.0,0.0,0.0,0.0,0.0,0.0
artificial.27,0.248,0.152,0.073,0.023,0.005,0.0,0.0,0.0,0.0,0.0
artificial.28,0.464,0.315,0.099,0.006,0.0,0.0,0.0,0.0,0.0,0.0
artificial.29,0.327,0.206,0.102,0.03,0.003,0.0,0.0,0.0,0.0,0.0
artificial.30,0.313,0.197,0.067,0.009,0.001,0.0,0.0,0.0,0.0,0.0
artificial.31,0.857,0.832,0.745,0.521,0.131,0.005,0.0,0.0,0.0,0.0
artificial.32,0.356,0.26,0.175,0.101,0.051,0.003,0.0,0.0,0.0,0.0
artificial.33,0.445,0.313,0.16,0.042,0.01,0.0,0.0,0.0,0.0,0.0
artificial.34,0.268,0.189,0.106,0.04,0.007,0.0,0.0,0.0,0.0,0.0
artificial.35,0.327,0.2,0.094,0.018,0.001,0.0,0.0,0.0,0.0,0.0
artificial.36,0.343,0.223,0.098,0.015,0.002,0.0,0.0,0.0,0.0,0.0
artificial.37,0.264,0.158,0.072,0.041,0.016,0.0,0.0,0.0,0.0,0.0
artificial.38,0.312,0.273,0.193,0.104,0.041,0.007,0.0,0.0,0.0,0.0
artificial.39,0.411,0.362,0.281,0.206,0.135,0.017,0.0,0.0,0.0,0.0
artificial.40,0.635,0.546,0.436,0.32,0.141,0.003,0.0,0.0,0.0,0.0
artificial.41,0.328,0.277,0.199,0.118,0.046,0.015,0.0,0.0,0.0,0.0
artificial.42,0.823,0.718,0.491,0.16,0.005,0.0,0.0,0.0,0.0,0.0
artificial.43,0.624,0.527,0.361,0.109,0.003,0.0,0.0,0.0,0.0,0.0
artificial.44,0.284,0.184,0.096,0.023,0.002,0.0,0.0,0.0,0.0,0.0
artificial.45,0.353,0.257,0.122,0.017,0.0,0.0,0.0,0.0,0.0,0.0
artificial.46,0.297,0.188,0.083,0.024,0.007,0.0,0.0,0.0,0.0,0.0
artificial.47,0.791,0.722,0.595,0.404,0.159,0.003,0.0,0.0,0.0,0.0
artificial.48,0.262,0.179,0.101,0.037,0.005,0.0,0.0,0.0,0.0,0.0
artificial.49,0.325,0.268,0.192,0.106,0.038,0.003,0.0,0.0,0.0,0.0
artificial.50,0.395,0.23,0.091,0.013,0.0,0.0,0.0,0.0,0.0,0.0
artificial.51,0.149,0.074,0.022,0.007,0.002,0.0,0.0,0.0,0.0,0.0
artificial.52,0.359,0.268,0.148,0.055,0.008,0.0,0.0,0.0,0.0,0.0
artificial.53,0.445,0.331,0.174,0.032,0.002,0.0,0.0,0.0,0.0,0.0
artificial.54,0.292,0.161,0.062,0.011,0.001,0.0,0.0,0.0,0.0,0.0
artificial.55,0.312,0.195,0.084,0.025,0.012,0.0,0.0,0.0,0.0,0.0
artificial.56,0.18,0.091,0.036,0.01,0.004,0.0,0.0,0.0,0.0,0.0
artificial.57,0.222,0.12,0.044,0.013,0.005,0.0,0.0,0.0,0.0,0.0
artificial.58,0.22,0.138,0.084,0.026,0.01,0.002,0.0,0.0,0.0,0.0
artificial.59,0.308,0.229,0.171,0.104,0.035,0.001,0.0,0.0,0.0,0.0
artificial.60,0.308,0.179,0.079,0.023,0.005,0.0,0.0,0.0,0.0,0.0
artificial.61,0.333,0.236,0.152,0.081,0.04,0.004,0.0,0.0,0.0,0.0
artificial.62,0.3,0.205,0.134,0.081,0.037,0.003,0.0,0.0,0.0,0.0
artificial.63,0.257,0.17,0.073,0.012,0.0,0.0,0.0,0.0,0.0,0.0
artificial.64,0.451,0.371,0.243,0.107,0.023,0.001,0.0,0.0,0.0,0.0
artificial.65,0.685,0.577,0.42,0.205,0.05,0.0,0.0,0.0,0.0,0.0
artificial.66,0.437,0.335,0.215,0.14,0.066,0.005,0.0,0.0,0.0,0.0
artificial.67,0.359,0.284,0.165,0.059,0.004,0.0,0.0,0.0,0.0,0.0
artificial.68,0.185,0.101,0.032,0.003,0.0,0.0,0.0,0.0,0.0,0.0
artificial.69,0.357,0.322,0.249,0.19,0.095,0.003,0.0,0.0,0.0,0.0
artificial.70,0.291,0.177,0.081,0.044,0.019,0.003,0.0,0.0,0.0,0.0
artificial.71,0.268,0.208,0.144,0.092,0.053,0.011,0.0,0.0,0.0,0.0
artificial.72,0.271,0.14,0.053,0.008,0.004,0.001,0.0,0.0,0.0,0.0
artificial.73,0.732,0.61,0.384,0.072,0.001,0.0,0.0,0.0,0.0,0.0
artificial.74,0.303,0.224,0.105,0.029,0.001,0.0,0.0,0.0,0.0,0.0
artificial.75,0.235,0.117,0.034,0.005,0.001,0.0,0.0,0.0,0.0,0.0
artificial.76,0.774,0.74,0.658,0.507,0.329,0.113,0.0,0.0,0.0,0.0
artificial.77,0.424,0.268,0.103,0.032,0.003,0.0,0.0,0.0,0.0,0.0
artificial.78,0.217,0.132,0.062,0.026,0.005,0.0,0.0,0.0,0.0,0.0
artificial.79,0.244,0.18,0.171,0.193,0.184,0.02,0.0,0.0,0.0,0.0
artificial.80,0.413,0.31,0.204,0.065,0.006,0.0,0.0,0.0,0.0,0.0
artificial.81,0.319,0.213,0.111,0.03,0.004,0.0,0.0,0.0,0.0,0.0
