,Feature Name
Feature n°1,CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.Stroma.mesenchymal
Feature n°2,CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal
Feature n°3,CD8_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Macrophages.M1.like
Feature n°4,CD4_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Gland.glandular.epithelium
Feature n°5,CD8_T_cells_CD80_CD86+_stromal_aggregatedNeighbors.Stroma.fibroblast
Feature n°6,CD4_T_cells_CD11b+_glandfront_aggregatedNeighbors.Stroma.mesenchymal
Feature n°7,CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast
Feature n°8,Stroma_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.vascular.endothelium
Feature n°9,NK_cells_CD56brCD16-_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi
Feature n°10,NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_aggregatedNeighbors.Stroma.mesenchymal
Feature n°11,NK_cells_CD56brCD16-TIM3hi_stromal_aggregatedNeighbors.aSMA.br.mesenchymal
Feature n°12,NK_cells_CD56brCD16-CD9hi_glandfront_aggregatedNeighbors.Stroma.mesenchymal
Feature n°13,Macrophages_M2-like_stromal_aggregatedNeighbors.aSMA.br.mesenchymal
Feature n°14,Macrophages_M1_M2_glandfront_aggregatedNeighbors.Macrophages.M1.like
Feature n°15,Macrophages_M1_M2_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium
Feature n°16,Dendritic_Cells_CD86+_stromal_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°17,Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast
Feature n°18,Dendritic_Cells_CD33+_intragland_aggregatedNeighbors.Gland.glandular.epithelium
Feature n°19,Dendritic_Cells_CD86CD33dp_glandfront_aggregatedNeighbors.Stroma.mesenchymal
Feature n°20,Neutrophils_glandfront_aggregatedNeighbors.Stroma.mesenchymal
Feature n°21,Neutrophils_glandfront_aggregatedNeighbors.Gland.mesenchymal
Feature n°22,Neutrophils_stromal_aggregatedNeighbors.Neutrophils
Feature n°23,aSMA-br_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium
Feature n°24,Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.glandular.epithelium
Feature n°25,Gland_mesenchymal_intragland_aggregatedNeighbors.Gland.glandular.epithelium
Feature n°26,NA_stromal_aggregatedNeighbors.Stroma.mesenchymal
