,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.426 [0.340, 0.508]","0.365 [0.296, 0.463]","9.000 [4.750, 22.250]","0.135 [0.077, 0.207]"
STABL ALasso,"0.445 [0.362, 0.532]","0.368 [0.302, 0.472]","11.000 [5.000, 25.250]","0.132 [0.070, 0.207]"
STABL XGBoost,"0.500 [0.500, 0.500]","0.410 [0.340, 0.484]","0.000 [0.000, 0.250]","0.000 [0.000, 0.000]"
