,R2,RMSE,MAE
STABL Lasso,"0.735 [0.579, 0.829]","16.544 [13.304, 20.075]","12.001 [10.322, 13.936]"
STABL XGBoost,"0.751 [0.634, 0.823]","16.063 [13.734, 19.014]","12.511 [10.976, 14.065]"
STABL ALasso,"0.726 [0.581, 0.828]","16.826 [13.393, 20.446]","12.031 [10.280, 14.122]"
STABL ElasticNet,"0.679 [0.506, 0.802]","18.209 [14.530, 21.881]","13.347 [11.370, 15.557]"
Union STABL Lasso & STABL XGBoost,"0.734 [0.599, 0.828]","16.595 [13.525, 20.140]","12.055 [10.444, 14.006]"
Intersect STABL Lasso & STABL XGBoost,"0.577 [0.408, 0.698]","20.917 [17.461, 24.607]","15.730 [13.509, 18.063]"
Union STABL Lasso & STABL ALasso,"0.729 [0.577, 0.822]","16.727 [13.503, 20.447]","12.057 [10.308, 13.978]"
Intersect STABL Lasso & STABL ALasso,"0.577 [0.410, 0.692]","20.917 [17.736, 24.560]","15.730 [13.549, 17.964]"
Union STABL Lasso & STABL ElasticNet,"0.687 [0.490, 0.803]","17.982 [14.493, 22.334]","13.050 [11.330, 14.993]"
Intersect STABL Lasso & STABL ElasticNet,"0.577 [0.402, 0.703]","20.917 [17.507, 24.476]","15.730 [13.824, 18.225]"
Union STABL XGBoost & STABL ALasso,"0.735 [0.601, 0.824]","16.541 [13.647, 19.794]","12.168 [10.464, 14.113]"
Intersect STABL XGBoost & STABL ALasso,"0.577 [0.414, 0.702]","20.917 [17.743, 24.617]","15.730 [13.601, 18.094]"
Union STABL XGBoost & STABL ElasticNet,"0.677 [0.496, 0.799]","18.281 [14.362, 22.702]","13.399 [11.557, 15.523]"
Intersect STABL XGBoost & STABL ElasticNet,"0.577 [0.409, 0.703]","20.917 [17.802, 24.243]","15.730 [13.637, 17.961]"
Union STABL ALasso & STABL ElasticNet,"0.695 [0.508, 0.813]","17.766 [13.923, 21.793]","12.928 [10.984, 15.027]"
Intersect STABL ALasso & STABL ElasticNet,"0.577 [0.406, 0.708]","20.917 [17.672, 24.953]","15.730 [13.705, 18.002]"
