,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.603 [0.527, 0.678]","0.595 [0.508, 0.700]","7.000 [4.000, 22.250]","0.115 [0.044, 0.200]"
STABL ALasso,"0.596 [0.523, 0.671]","0.597 [0.507, 0.702]","7.000 [3.000, 17.500]","0.123 [0.048, 0.200]"
STABL XGBoost,"0.545 [0.467, 0.613]","0.517 [0.447, 0.604]","2.500 [0.000, 4.250]","0.000 [0.000, 0.143]"
