,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.559 [0.480, 0.632]","0.542 [0.461, 0.649]","3.000 [2.000, 5.000]","0.071 [0.000, 0.200]"
STABL ALasso,"0.537 [0.460, 0.613]","0.518 [0.450, 0.617]","2.000 [0.750, 4.000]","0.000 [0.000, 0.100]"
STABL XGBoost,"0.654 [0.577, 0.729]","0.637 [0.546, 0.743]","17.000 [13.000, 23.000]","0.280 [0.222, 0.346]"
