,ROC AUC,Average Precision
STABL Lasso,"0.697 [0.600, 0.791]","0.359 [0.246, 0.529]"
STABL XGBoost,"0.734 [0.639, 0.823]","0.435 [0.289, 0.621]"
STABL ALasso,"0.663 [0.560, 0.768]","0.320 [0.222, 0.476]"
Union STABL Lasso & STABL XGBoost,"0.743 [0.656, 0.827]","0.413 [0.269, 0.618]"
Intersect STABL Lasso & STABL XGBoost,"0.684 [0.582, 0.788]","0.357 [0.245, 0.535]"
Union STABL Lasso & STABL ALasso,"0.698 [0.595, 0.793]","0.356 [0.253, 0.535]"
Intersect STABL Lasso & STABL ALasso,"0.659 [0.550, 0.759]","0.320 [0.214, 0.482]"
Union STABL XGBoost & STABL ALasso,"0.747 [0.651, 0.831]","0.428 [0.304, 0.624]"
Intersect STABL XGBoost & STABL ALasso,"0.661 [0.556, 0.766]","0.326 [0.222, 0.481]"
