,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.572 [0.434, 0.707]","0.253 [0.126, 0.440]","37.500 [28.000, 46.250]","0.246 [0.203, 0.295]"
STABL ALasso,"0.566 [0.424, 0.710]","0.209 [0.129, 0.403]","39.000 [30.750, 49.000]","0.237 [0.195, 0.284]"
STABL ElasticNet,"0.530 [0.397, 0.657]","0.182 [0.114, 0.313]","150.500 [81.500, 262.000]","0.137 [0.073, 0.249]"
STABL XGBoost,"0.489 [0.350, 0.630]","0.169 [0.106, 0.284]","9.000 [7.000, 11.000]","0.143 [0.071, 0.222]"
