,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000588)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
artificial.1,0.015,0.009,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.2,0.021,0.015,0.004,0.002,0.0,0.0,0.0,0.0,0.0,0.0
artificial.3,0.075,0.058,0.029,0.009,0.0,0.0,0.0,0.0,0.0,0.0
artificial.4,0.048,0.034,0.026,0.014,0.007,0.0,0.0,0.0,0.0,0.0
artificial.5,0.025,0.023,0.021,0.019,0.012,0.005,0.0,0.0,0.0,0.0
artificial.6,0.106,0.094,0.077,0.053,0.031,0.014,0.0,0.0,0.0,0.0
artificial.7,0.022,0.013,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.8,0.041,0.022,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.9,0.04,0.038,0.03,0.012,0.002,0.0,0.0,0.0,0.0,0.0
artificial.10,0.014,0.011,0.004,0.004,0.003,0.0,0.0,0.0,0.0,0.0
artificial.11,0.051,0.046,0.036,0.015,0.003,0.0,0.0,0.0,0.0,0.0
artificial.12,0.017,0.011,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0
artificial.13,0.013,0.007,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0
artificial.14,0.008,0.007,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.15,0.018,0.008,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.16,0.15,0.108,0.064,0.021,0.004,0.004,0.0,0.0,0.0,0.0
artificial.17,0.017,0.013,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.18,0.063,0.045,0.033,0.01,0.006,0.0,0.0,0.0,0.0,0.0
artificial.19,0.512,0.515,0.493,0.427,0.244,0.076,0.001,0.0,0.0,0.0
artificial.20,0.034,0.023,0.008,0.003,0.0,0.0,0.0,0.0,0.0,0.0
artificial.21,0.123,0.103,0.074,0.041,0.01,0.0,0.0,0.0,0.0,0.0
artificial.22,0.15,0.145,0.116,0.08,0.032,0.0,0.0,0.0,0.0,0.0
artificial.23,0.007,0.006,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.24,0.408,0.387,0.352,0.225,0.064,0.0,0.0,0.0,0.0,0.0
artificial.25,0.025,0.019,0.007,0.003,0.001,0.0,0.0,0.0,0.0,0.0
artificial.26,0.065,0.052,0.035,0.028,0.019,0.002,0.0,0.0,0.0,0.0
artificial.27,0.024,0.012,0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0
artificial.28,0.007,0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.29,0.103,0.089,0.049,0.016,0.0,0.0,0.0,0.0,0.0,0.0
artificial.30,0.005,0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.31,0.159,0.162,0.159,0.136,0.048,0.002,0.0,0.0,0.0,0.0
artificial.32,0.047,0.039,0.038,0.025,0.012,0.002,0.0,0.0,0.0,0.0
artificial.33,0.054,0.051,0.042,0.034,0.037,0.034,0.011,0.0,0.0,0.0
artificial.34,0.028,0.018,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.35,0.022,0.018,0.014,0.003,0.001,0.0,0.0,0.0,0.0,0.0
artificial.36,0.02,0.017,0.012,0.002,0.0,0.0,0.0,0.0,0.0,0.0
artificial.37,0.037,0.03,0.017,0.009,0.003,0.0,0.0,0.0,0.0,0.0
artificial.38,0.134,0.118,0.083,0.031,0.005,0.0,0.0,0.0,0.0,0.0
artificial.39,0.407,0.405,0.391,0.349,0.238,0.108,0.008,0.0,0.0,0.0
artificial.40,0.009,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.41,0.02,0.013,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0
