,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.534 [0.407, 0.657]","0.256 [0.168, 0.386]","2.000 [0.000, 6.000]","0.000 [0.000, 0.250]"
STABL ALasso,"0.495 [0.386, 0.607]","0.236 [0.157, 0.338]","2.000 [0.000, 5.000]","0.000 [0.000, 0.176]"
STABL XGBoost,"0.540 [0.416, 0.670]","0.294 [0.182, 0.432]","3.000 [2.000, 4.000]","0.250 [0.167, 0.400]"
