,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.451 [0.360, 0.537]","0.208 [0.144, 0.282]","0.000 [0.000, 2.000]","0.000 [0.000, 0.000]"
STABL ALasso,"0.518 [0.425, 0.592]","0.233 [0.163, 0.308]","0.000 [0.000, 2.000]","0.000 [0.000, 0.000]"
STABL XGBoost,"0.534 [0.406, 0.663]","0.298 [0.185, 0.451]","4.000 [2.750, 5.250]","0.286 [0.167, 0.429]"
