,ROC AUC,Average Precision
STABL Lasso,"0.517 [0.442, 0.588]","0.499 [0.427, 0.588]"
STABL XGBoost,"0.419 [0.344, 0.495]","0.442 [0.376, 0.533]"
STABL ALasso,"0.481 [0.418, 0.540]","0.484 [0.419, 0.570]"
Union STABL Lasso & STABL XGBoost,"0.497 [0.424, 0.569]","0.489 [0.415, 0.586]"
Intersect STABL Lasso & STABL XGBoost,"0.391 [0.334, 0.451]","0.458 [0.396, 0.530]"
Union STABL Lasso & STABL ALasso,"0.527 [0.452, 0.600]","0.502 [0.430, 0.598]"
Intersect STABL Lasso & STABL ALasso,"0.468 [0.413, 0.529]","0.477 [0.409, 0.557]"
Union STABL XGBoost & STABL ALasso,"0.499 [0.425, 0.578]","0.496 [0.421, 0.586]"
Intersect STABL XGBoost & STABL ALasso,"0.416 [0.373, 0.459]","0.485 [0.421, 0.553]"
