,R2,RMSE,MAE
STABL Lasso,"0.395 [0.277, 0.497]","24.535 [21.864, 26.898]","19.800 [17.714, 21.995]"
STABL ALasso,"0.399 [0.280, 0.497]","24.444 [21.841, 26.822]","19.772 [17.715, 21.895]"
STABL XGBoost,"0.387 [0.273, 0.489]","24.699 [22.467, 27.103]","20.075 [18.060, 22.376]"
Union STABL Lasso & STABL ALasso,"0.399 [0.284, 0.499]","24.448 [22.004, 26.879]","19.784 [17.613, 21.888]"
Intersect STABL Lasso & STABL ALasso,"0.309 [0.210, 0.392]","26.210 [23.831, 28.530]","22.282 [20.338, 24.281]"
Union STABL Lasso & STABL XGBoost,"0.397 [0.270, 0.496]","24.497 [22.077, 26.945]","19.935 [17.751, 22.045]"
Intersect STABL Lasso & STABL XGBoost,"0.309 [0.216, 0.397]","26.210 [23.898, 28.538]","22.282 [20.198, 24.408]"
Union STABL ALasso & STABL XGBoost,"0.400 [0.285, 0.500]","24.436 [22.122, 27.048]","19.853 [17.666, 21.716]"
Intersect STABL ALasso & STABL XGBoost,"0.309 [0.204, 0.390]","26.210 [23.922, 28.706]","22.282 [20.282, 24.321]"
