,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.670 [0.559, 0.777]","0.346 [0.240, 0.506]","11.000 [5.750, 20.000]","0.167 [0.100, 0.250]"
STABL ALasso,"0.653 [0.537, 0.761]","0.328 [0.234, 0.475]","12.000 [7.000, 25.000]","0.162 [0.091, 0.244]"
STABL XGBoost,"0.673 [0.567, 0.771]","0.322 [0.224, 0.458]","5.000 [3.000, 9.000]","0.111 [0.000, 0.222]"
